,Code Pays,Pays,Importations de Champagne (€),Importations de vin ($),Part de Vin dans la consommation d'alcool (%),Importations totales en % du PIB,Nombre annuel de touristes,Population totale,Nombre d'expatriés français,PIB par habitant en PPA,Taux de pauvreté (%),Taux d'inscription dans le supérieur (%),Global Peace Index,Pourcentage De Musulmans (%),Distance avec la France (km),Taxes de Douane (%)
84,MYS,MALAISIE,6 753 603,"$66,523,000",21,59.56816567085866,26159500.0,31526625.4,3 083,27596.76628937576,"0,4(2015)",44.66606998443605,1.6036000000000001,.3,10436.4,
85,MDV,MALDIVES,3 256 045,,37.2,77.38243486223583,1465750.0,511821.2,,17697.68106199412,"8,2(2016)",32.67276573181155,,00,8294.178,50.0
86,MLI,MALI,496 876,,1.2,37.075220850750725,196500.0,19092897.8,8 592,2308.2676750241744,"41,1(2009)",,2.6403999999999996,95,4139.756,20.0
87,MLT,MALTE,1 861 539,"$19,795,000",29.9,131.63526672455208,3071750.0,487466.4,1 364,43284.024623803125,"16,3(2015)",56.74699878692627,,.6,1752.693,0.0
88,MRT,MAURITANIE,39 741,,,46.549741549153225,,4404956.8,1 857,5216.96310287898,"31,0(2014)",5.3983119964599595,2.3422,.9,3794.96,20.0
89,MUS,MAURICE,1 798 172,"$9,293,000",15.4,53.006246519518434,1381750.0,1264968.0,11 524,21843.49264580488,"7,9(2012)",41.9392532348633,1.6111999999999997,.3,9422.744,15.0
90,MEX,MEXIQUE,25 543 120,"$199,419,000",2.1,39.374962037283055,97026250.0,126161953.8,20 687,19710.889240489407,"41,9",40.7539596557617,2.5926,.1,9206.813,20.0
91,MNG,MONGOLIE,181 040,,1.9,59.09958721467493,562250.0,3168763.6,87,11959.537145876819,"28,4",65.6329402923584,1.7990000000000002,.4,7053.423,20.0
92,MAR,MAROC,4 664 320,"$27,763,000",39.8,46.38932017335585,11953750.0,36023788.8,53 824,7440.640050705233,"4,8(2013)",36.17491989135742,2.0476,99,1816.853,49.0
93,OMN,OMAN,1 434 914,,2.8,46.92533059093107,3283250.0,4811246.6,763,28913.03671730963,,41.22888565063476,1.9764,87,5620.005,100.0
94,NPL,NÉPAL,12 238,,49,37.350898915823144,1015750.0,28147469.4,201,3709.2260159612406,"25,2(2010)",12.48203411102296,1.9998,.2,7244.016,
95,NLD,PAYS-BAS,48 473 832,"$1,481,683,000",35.8,71.25612883966123,18165250.0,17235849.4,24 404,56857.50821451419,"8,8(2015)",84.14771270751953,1.5394,.1,427.9169,
96,ABW,ARUBA,461 323,"$6,985,000",,72.10042224226274,1867250.0,105829.6,,38241.07387274325,,15.5992097854614,,.1,7685.884,
97,VUT,VANUATU,117 635,,25.4,54.46991384554842,322500.0,292706.4,1 912,3089.562981291206,"12,7(2010)",,,.1,16346.35,40.0
98,NZL,NOUVELLE-ZÉLANDE,12 210 359,"$145,093,000",33.4,25.980073859387083,3740750.0,4898380.0,5 545,43091.61678046942,"10,9(2016)",81.77229881286623,1.2260000000000002,.9,19263.88,3.3333333333333335
99,NER,NIGER,117 589,,13.7,25.809983096974314,166250.0,22470272.6,1 399,1221.944475247529,"44,5(2014)",4.051069927215578,2.37,.3,3932.638,20.0
100,NGA,NIGÉRIA,18 153 942,"$13,241,000",0.4,15.712920169486704,5265000.0,195962273.2,,5248.208660770639,,,,,4722.149,20.0
